,pr_predict_cc
727,0.216767452
728,10.28256331
729,16.5997592
730,1.309714873
731,0
732,0.104690976
733,0
734,0.236423113
735,0.227914519
736,9.525278361
737,6.679799161
738,0.472349505
739,4.956624157
740,3.298241357
741,0.151331026
742,0.158904324
743,1.212686244
744,0.720919528
745,4.836209482
746,1.530963979
747,1.061497395
748,32.10054931
749,14.00421833
750,2.576949009
751,0.281098897
752,0.049994721
753,0.051024636
754,0.050151879
755,0.099420213
756,0.273341265
757,0.133128644
758,0.161590006
759,0.306970246
760,0.353196063
761,0.183012668
762,5.947636362
763,4.180405359
764,7.448623862
765,1.81753856
766,6.609106346
767,8.900556724
768,22.49409991
769,0
770,9.378013517
771,3.778202438
772,7.487495397
773,21.41809581
774,24.26895678
775,26.39273159
776,38.25045733
777,32.34699825
778,13.50810748
779,0.644538059
780,0
781,0.271729725
782,0.586866056
783,4.007574638
784,0.276272759
785,0
786,2.75712898
787,3.937226853
788,20.23907527
789,2.403089556
790,1.968465281
791,0.22686145
792,0.950668197
793,0.117272387
794,0.071261227
795,0.493000956
796,1.275306644
797,0.167310066
798,0.212903164
799,6.40089806
800,11.0207668
801,5.60381816
802,11.57025017
803,8.911138686
804,0.605440786
805,0.260657106
806,10.25410015
807,0.823760722
808,0.951178513
809,3.885889053
810,5.378494303
811,3.898127104
812,10.50351623
813,0.907511906
814,1.72421417
815,6.387881672
816,9.126518588
817,3.235794321
818,0.88504868
819,11.3979354
820,15.9284452
821,10.86112173
822,0.408556842
823,0.483616276
824,0.51790812
825,12.3364946
826,5.144226809
827,0.051557487
828,0.092322339
829,0
830,0.050708315
831,0
832,0
833,0
834,0
835,0.16131843
836,7.566077237
837,10.84436414
838,20.70855063
839,22.01972528
840,13.53196664
841,8.363030562
842,0.161656533
843,0.122126335
844,0.052766981
845,0.131449047
846,0.567888444
847,0.10053102
848,0.089063628
849,0.020998457
850,0
851,0.165775532
852,0.17727091
853,0
854,0
855,0.071392272
856,11.90358097
857,0.606291993
858,0
859,0
860,0.022422513
861,2.678599349
862,4.840176516
863,0.14519256
864,0.155154088
865,0
866,0.105073726
867,0.134339723
868,0
869,3.859182762
870,0.201552971
871,12.60231218
872,0.128884502
873,0.156500819
874,0.149311965
875,0.074143827
876,0
877,0.048035542
878,0.11888243
879,0.083236145
880,0.503736437
881,4.823739039
882,1.326009775
883,0.082993276
884,0
885,0
886,8.413441733
887,0.196662656
888,0.003611051
889,0.03810626
890,0.014020889
891,0.056213539
892,0.166427819
893,0.084752862
894,0.048408946
895,0.068282632
896,0.121538226
897,0.02359685
898,0
899,0.779100945
900,0.052464871
901,0
902,0
903,0.059697036
904,0
905,0
906,0
907,0
908,0.025498008
909,0
910,0.106488597
911,0.034429494
912,0.179603118
913,0.074552967
914,1.722297844
915,0.051309825
916,0.015381936
917,5.763356377
918,0.051118375
919,0.074213846
920,0
921,0
922,0
923,0
924,0.051521857
925,0.083918875
926,0
927,0.037760199
928,0.042913229
929,0.051852337
930,0
931,0.079497122
932,0.059968792
933,0.018523634
934,0
935,0.875778757
936,0
937,0.155543183
938,0.420525338
939,0.274899935
940,5.306067499
941,1.465781235
942,12.81744528
943,9.949595221
944,0.109920344
945,0.034314807
946,0.089683104
947,0
948,0.066986779
949,11.04400997
950,0.075876252
951,0
952,0.062774401
953,0
954,0.073719554
955,0
956,0.098810417
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0.019372544
966,0.063191671
967,0.049509067
968,0.02847782
969,0.038429336
970,0.064712163
971,0
972,0.076149066
973,0
974,0
975,0
976,0.129814089
977,0.044497575
978,0.064863309
979,0.035926156
980,0.025865139
981,0.099545576
982,0
983,0.066072119
984,0
985,0.032665585
986,0
987,0
988,0.501895899
989,0.214204486
990,0
991,0.026193997
992,0.184953616
993,0.186184609
994,0.01480924
995,0.037591255
996,0.693750465
997,0.051370412
998,0.539279149
999,0.3927181
1000,0.928996906
1001,0
1002,0.116752553
1003,0.110530996
1004,0.110263869
1005,0.113173935
1006,0.113997545
1007,2.97581022
1008,0
1009,0.068723535
1010,0.169387206
1011,3.318538894
1012,2.576370974
1013,17.4541264
1014,3.353537224
1015,1.930963966
1016,0.037051303
1017,1.678918033
1018,2.535534895
1019,1.685418107
1020,1.691839361
1021,20.73030078
1022,34.05768512
1023,0.235111401
1024,0
1025,0
1026,0.125058259
1027,0
1028,0.151101241
1029,0.852919419
1030,0.334277585
1031,4.597138667
1032,3.610536869
1033,18.20747743
1034,23.4926015
1035,4.586905227
1036,5.773084551
1037,11.79053174
1038,5.158336803
1039,0.831621323
1040,1.493931799
1041,11.14706453
1042,0.580703138
1043,0.448633809
1044,6.470868793
1045,4.928425195
1046,0.140511902
1047,0.110410633
1048,0.016878734
1049,0.381793135
1050,1.204771867
1051,0.087582875
1052,0.358179737
1053,11.81127387
1054,5.815957159
1055,0.076805014
1056,0.028073117
1057,0
1058,0.052074585
1059,0.038133619
1060,0.435995725
1061,0
1062,0.242474488
1063,1.483760197
1064,2.603746709
1065,2.682760597
1066,0.19923882
1067,0.246798444
1068,0.171937047
1069,7.762817116
1070,1.585454927
1071,0.26062602
1072,4.97552998
1073,0.863264499
1074,1.678665244
1075,0.171831941
1076,0.74371743
1077,5.302590213
1078,13.48671398
1079,18.4216684
1080,1.695710768
1081,0.137925421
1082,0.06025414
1083,0.010575717
1084,0.079838962
1085,0.172093204
1086,2.858587168
1087,7.334954186
1088,9.456228651
1089,0.27730163
1090,0.264076839
1091,0.126197029
1092,0.157278936
1093,0.181729179
1094,0.502086417
1095,7.235744334
1096,6.561138134
1097,0.887343244
1098,0.841423695
1099,8.697103108
1100,0
1101,0.225174091
1102,12.43807185
1103,1.784743303
1104,4.096971225
1105,0.214213593
1106,0.345237591
1107,0.248980903
1108,0.179958421
1109,0.190029533
1110,8.016851452
1111,0.230740298
1112,8.421604763
1113,0.212112273
1114,3.498986695
1115,10.00635329
